uniquekey,complainttype,zipcode,address,streetname,street1,street2,intersectionstreet1,intersectionstreet2,addresstype,city,priority,status,lastupdated,borough,xcoordinate,ycoordinate,latitude,longitude,location
15920020,Manhole Inspection,11204,,,18 AVE,65 ST,18 AVENUE,65 STREET,INTERSECTION,BROOKLYN,Medium,Closed,2/2/10 14:22,BROOKLYN,986976,164843,40.61913199,-73.99018072,"(40.61913199154393, -73.99018072253162)"
16077844,Transformer,11228,1564 86 STREET,86 STREET,BAY 11 ST,16 AVE,,,ADDRESS,BROOKLYN,High,Closed,3/2/10 13:30,BROOKLYN,982052,161674,40.61043389,-74.00791635,"(40.61043388830781, -74.00791634621132)"
16085428,Transformer ,11228,1564 86 STREET,86 STREET,BAY 11 ST,16 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,2/25/10 14:00,BROOKLYN,982052,161674,40.61043389,-74.00791635,"(40.61043388830781, -74.00791634621132)"
16085429,Gas Pipeline Broken,11214,143 BAY   31 STREET,BAY   31 STREET,BENSON AVE,BATH AVE,,,ADDRESS,BROOKLYN,Low,Closed,2/25/10 14:00,BROOKLYN,985376,157389,40.59867264,-73.9959453,"(40.59867263793507, -73.99594529768392)"
16094391,Gas Leak,11214,1628 SHORE PARKWAY,SHORE PARKWAY,BELT PARKWAY EASTBOUND EXIT,BELT PARKWAY EB EN BAY PKWY,,,ADDRESS,BROOKLYN,Medium,Closed,9/18/12 3:30,BROOKLYN,984301,156236,40.59550796,-73.99981636,"(40.595507957046316, -73.99981635877681)"
16611180,Transformer,11214,2252 85 STREET,85 STREET,BAY PKWY,23 AVE,,,ADDRESS,BROOKLYN,High,Closed,5/8/10 13:15,BROOKLYN,986459,158537,40.60182346,-73.99204506,"(40.60182346146526, -73.99204506206692)"
16663920,Manhole Inspection,11214,2252 85 STREET,85 STREET,BAY PKWY,23 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,5/14/10 2:15,BROOKLYN,986459,158537,40.60182346,-73.99204506,"(40.60182346146526, -73.99204506206692)"
16314136,Transformer,11204,1766 65 STREET,65 STREET,17 AVE,18 AVE,,,ADDRESS,BROOKLYN,Low,Closed,9/15/12 3:30,BROOKLYN,986734,165031,40.61964808,-73.99105236,"(40.61964808359192, -73.99105235736926)"
18497264,Transformer ,11204,,,19 AVE,61 ST,19 AVENUE,61 STREET,INTERSECTION,BROOKLYN,Medium,Closed,11/23/13 11:00,BROOKLYN,988222,165207,40.62013062,-73.98569231,"(40.62013062481224, -73.98569231338394)"
18506386,Gas Pipeline Broken,11204,2036 75 STREET,75 STREET,20 AVE,21 AVE,,,ADDRESS,BROOKLYN,High,Closed,3/28/12 18:30,BROOKLYN,986787,161621,40.61028832,-73.99086273,"(40.61028832362312, -73.9908627267721)"
18672163,Gas Leak,11228,8797 14 AVENUE,14 AVENUE,BATH AVE,CROPSEY AVE,,,ADDRESS,BROOKLYN,Medium,Closed,10/14/12 6:00,BROOKLYN,979831,161039,40.60869011,-74.01591511,"(40.608690114388786, -74.01591511388028)"
18813953,Transformer,11204,6804 BAY PARKWAY,BAY PARKWAY,68 ST,W 9 ST,,,ADDRESS,BROOKLYN,High,Closed,9/10/12 5:00,BROOKLYN,988875,162251,40.6120167,-73.98334214,"(40.61201670019602, -73.98334214308247)"
18863594,Manhole Inspection,11219,,,15 AVE,64 ST,15 AVENUE,64 STREET,INTERSECTION,BROOKLYN,Low,Closed,10/19/10 11:15,BROOKLYN,985222,166588,40.62392202,-73.99649852,"(40.623922018573325, -73.99649852434057)"
19091680,Transformer,11204,1618 71 STREET,71 STREET,16 AVE,17 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,11/9/10 12:15,BROOKLYN,984866,164494,40.61817446,-73.99778115,"(40.61817445701361, -73.99778114888483)"
19324435,Transformer ,11214,,,BAY 38 ST,86 ST,BAY 38 STREET,86 STREET,INTERSECTION,BROOKLYN,High,Closed,12/11/10 22:30,BROOKLYN,987599,157280,40.59837289,-73.98794038,"(40.598372893747936, -73.98794037554623)"
19365637,Gas Pipeline Broken,11219,,,15 AVE,64 ST,15 AVENUE,64 STREET,INTERSECTION,BROOKLYN,Medium,Closed,12/16/10 12:10,BROOKLYN,985222,166588,40.62392202,-73.99649852,"(40.623922018573325, -73.99649852434057)"
19547058,Gas Leak,11204,1873 66 STREET,66 STREET,18 AVE,19 AVE,,,ADDRESS,BROOKLYN,Low,Closed,11/6/13 13:25,BROOKLYN,987196,164315,40.61768267,-73.98938849,"(40.61768267080648, -73.98938849473844)"
19740232,Transformer,11228,,,BAY 11 ST,86 ST,BAY 11 STREET,86 STREET,INTERSECTION,BROOKLYN,Medium,Closed,3/28/12 18:15,BROOKLYN,982015,161707,40.61052446,-74.00804962,"(40.61052445727116, -74.0080496168275)"
19782897,Manhole Inspection,11223,,,W 13 ST,HIGHLAWN AVE,WEST 13 STREET,HIGHLAWN AVENUE,INTERSECTION,BROOKLYN,High,Closed,11/25/13 13:00,BROOKLYN,988308,158875,40.60275055,-73.98538633,"(40.60275054898308, -73.98538633477432)"
18721116,Transformer,11204,,,20 AVE,65 ST,20 AVENUE,65 STREET,INTERSECTION,BROOKLYN,Medium,Closed,3/26/12 16:20,BROOKLYN,988176,163892,40.61652124,-73.98585878,"(40.61652124347624, -73.98585877635009)"
22953655,Transformer ,11214,2361 83 STREET,83 STREET,23 AVE,24 AVE,,,ADDRESS,BROOKLYN,Low,Closed,3/7/16 11:00,BROOKLYN,987435,158434,40.60154045,-73.98853039,"(40.60154045036056, -73.98853038933527)"
19908895,Gas Pipeline Broken,11214,1752 SHORE PARKWAY,SHORE PARKWAY,24 AVE,BAY 38 ST,,,ADDRESS,BROOKLYN,Medium,Closed,6/7/12 3:30,BROOKLYN,985350,155280,40.59288386,-73.99603927,"(40.592883861164786, -73.99603926652276)"
20794698,Gas Leak,11228,1450 79 STREET,79 STREET,14 AVE,15 AVE,,,ADDRESS,BROOKLYN,High,Closed,4/3/15 19:30,BROOKLYN,982449,163707,40.61601414,-74.00648705,"(40.61601414356366, -74.00648704794446)"
21277272,Transformer,11214,2568 CROPSEY AVENUE,CROPSEY AVENUE,BAY 41 ST,26 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,5/29/12 8:00,BROOKLYN,986508,154515,40.59078387,-73.99186995,"(40.59078387016059, -73.99186995003991)"
23213181,Manhole Inspection,11228,244 BAY   11 STREET,BAY   11 STREET,BATH AVE,CROPSEY AVE,,,ADDRESS,BROOKLYN,Low,Closed,6/14/12 9:00,BROOKLYN,980661,160006,40.60585512,-74.0129253,"(40.605855115812965, -74.01292530393748)"
28181715,Transformer,11204,2525 65 STREET,65 STREET,DAHILL RD,BEND,,,ADDRESS,BROOKLYN,Medium,Closed,6/5/14 12:30,BROOKLYN,991491,161268,40.60931682,-73.97392115,"(40.60931681574465, -73.9739211535406)"
28723305,Transformer ,11214,30 BAY   37 STREET,BAY   37 STREET,86 ST,BENSON AVE,,,ADDRESS,BROOKLYN,High,Closed,8/28/14 10:10,BROOKLYN,987207,157197,40.59814521,-73.98935199,"(40.59814521498835, -73.98935198928409)"
29113586,Gas Pipeline Broken,11214,194 BAY   19 STREET,BAY   19 STREET,BATH AVE,CROPSEY AVE,,,ADDRESS,BROOKLYN,Medium,Closed,3/8/16 18:10,BROOKLYN,982559,158982,40.60304501,-74.00608965,"(40.60304500998138, -74.00608965421144)"
23893524,Gas Leak,11223,,,AVENUE U,W 7 ST,AVENUE U,WEST 7 STREET,INTERSECTION,BROOKLYN,Low,Closed,8/18/13 12:10,BROOKLYN,990220,156560,40.59639526,-73.97850289,"(40.59639526120595, -73.97850288858372)"
23999425,Transformer,11214,1819 85 STREET,85 STREET,NEW UTRECHT AVE,19 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,9/14/12 20:00,BROOKLYN,983922,160556,40.60736547,-74.00118127,"(40.60736547409341, -74.00118127489215)"
23762810,Manhole Inspection,11223,,,HIGHLAWN AVE,W 13 ST,HIGHLAWN AVENUE,WEST 13 STREET,INTERSECTION,BROOKLYN,High,Closed,8/7/12 2:15,BROOKLYN,988308,158875,40.60275055,-73.98538633,"(40.60275054898308, -73.98538633477432)"
25035234,Transformer,11214,2228 80 STREET,80 STREET,BAY PKWY,23 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,12/2/15 0:30,BROOKLYN,987161,159640,40.60485077,-73.98951658,"(40.604850769168245, -73.98951658018903)"
25051124,Transformer ,11214,7506 20 AVENUE,20 AVENUE,BAY RIDGE PKWY,76 ST,,,ADDRESS,BROOKLYN,High,Closed,4/26/15 10:05,BROOKLYN,986500,161783,40.61073306,-73.99189633,"(40.61073305785398, -73.99189633357655)"
25305355,Gas Pipeline Broken,11223,,,AVENUE S,W 7 ST,AVENUE S,WEST 7 STREET,INTERSECTION,BROOKLYN,Low,Closed,4/10/13 11:30,BROOKLYN,989976,158238,40.60100119,-73.97938008,"(40.60100119265894, -73.97938007514884)"
25413652,Gas Leak,11214,,,BATH AVE,BAY 35 ST,BATH AVENUE,BAY 35 STREET,INTERSECTION,BROOKLYN,Medium,Closed,4/24/13 11:35,BROOKLYN,985959,156467,40.59614184,-73.99384616,"(40.59614184087442, -73.99384616019458)"
26083639,Transformer,11204,1870 67 STREET,67 STREET,18 AVE,19 AVE,,,ADDRESS,BROOKLYN,High,Closed,7/25/13 11:04,BROOKLYN,987023,164113,40.61712828,-73.99001172,"(40.61712827854496, -73.9900117244768)"
27071261,Manhole Inspection,11228,58 BAY    7 STREET,BAY    7 STREET,86 ST,BENSON AVE,,,ADDRESS,BROOKLYN,Medium,Closed,1/6/14 8:00,BROOKLYN,980894,161962,40.61122403,-74.01208716,"(40.611224026180366, -74.01208715759023)"
26439100,Transformer,11214,1829 83 STREET,83 STREET,18 AVE,19 AVE,,,ADDRESS,BROOKLYN,Low,Closed,10/24/13 9:35,BROOKLYN,984263,160950,40.60844693,-73.99995318,"(40.60844692947263, -73.99995318041962)"
26570682,Transformer ,11223,,,QUENTIN RD,W 11 ST,QUENTIN ROAD,WEST 11 STREET,INTERSECTION,BROOKLYN,Medium,Closed,11/18/13 21:30,BROOKLYN,988694,159844,40.60541007,-73.98399563,"(40.60541007136691, -73.98399563446307)"
27561165,Gas Pipeline Broken,11204,,,BAY RIDGE AVE,20 AVE,BAY RIDGE AVENUE,20 AVENUE,INTERSECTION,BROOKLYN,High,Closed,3/6/14 5:00,BROOKLYN,987517,163061,40.61424059,-73.98823286,"(40.614240587894095, -73.98823285807427)"
27774744,Gas Leak,11214,2115 BENSON AVENUE,BENSON AVENUE,21 AVE,BAY 28 ST,,,ADDRESS,BROOKLYN,Medium,Closed,4/3/14 6:15,BROOKLYN,984979,158353,40.60131866,-73.99737478,"(40.601318664152686, -73.99737478229913)"
28726792,Transformer,11223,220 AVENUE T,AVENUE T,W 5 ST,W 4 ST,,,ADDRESS,BROOKLYN,Low,Closed,9/25/14 13:00,BROOKLYN,990694,157465,40.59887897,-73.97679522,"(40.598878971356534, -73.97679521956995)"
30040315,Manhole Inspection,11214,113 BAY   20 STREET,BAY   20 STREET,BENSON AVE,BATH AVE,,,ADDRESS,BROOKLYN,Medium,Closed,4/18/15 22:00,BROOKLYN,983246,159347,40.60404697,-74.00361567,"(40.6040469651339, -74.00361567390897)"
30138141,Transformer,11214,307 BAY   13 STREET,BAY   13 STREET,CROPSEY AVE,SHORE PKWY,,,ADDRESS,BROOKLYN,High,Closed,3/10/15 15:05,BROOKLYN,980740,159164,40.60354403,-74.01264036,"(40.60354402916142, -74.01264035842657)"
30704631,Transformer ,11204,,,61 ST,BAY PKWY,61 STREET,BAY PARKWAY,INTERSECTION,BROOKLYN,Medium,Closed,5/26/15 9:25,BROOKLYN,990064,163748,40.61612496,-73.97905843,"(40.61612495557738, -73.97905843437883)"
29751190,Gas Pipeline Broken,11214,1677 77 STREET,77 STREET,NEW UTRECHT AVE,17 AVE,,,ADDRESS,BROOKLYN,Low,Closed,1/20/15 20:00,BROOKLYN,984232,162965,40.61397769,-74.00006483,"(40.613977689995046, -74.00006483248237)"
29815361,Gas Leak,11228,8895 15 AVENUE,15 AVENUE,CROPSEY AVE,INDEPENDENCE AVE,,,ADDRESS,BROOKLYN,Medium,Closed,2/19/15 11:50,BROOKLYN,979911,159882,40.60551443,-74.01562625,"(40.60551442564314, -74.01562624900765)"
29872638,Transformer,11214,,,23 AVE,BENSON AVE,23 AVENUE,BENSON AVENUE,INTERSECTION,BROOKLYN,High,Closed,2/5/15 14:00,BROOKLYN,986093,157468,40.59888936,-73.99336337,"(40.59888935685386, -73.99336337422017)"
31399238,Manhole Inspection,11204,,,65 ST,18 AVE,65 STREET,18 AVENUE,INTERSECTION,BROOKLYN,Medium,Closed,8/27/15 4:00,BROOKLYN,986976,164843,40.61913199,-73.99018072,"(40.61913199154393, -73.99018072253162)"
15840236,Transformer,11204,6802 19 AVENUE,19 AVENUE,68 ST,BAY RIDGE AVE,,,ADDRESS,BROOKLYN,Low,Closed,6/29/16 5:45,BROOKLYN,987039,163717,40.61604134,-73.98995426,"(40.61604133558015, -73.98995425646294)"
16921738,Transformer ,11223,,,,,LAKE STREET,AVENUE U,INTERSECTION,BROOKLYN,Medium,Closed,7/5/16 3:00,BROOKLYN,991447,156738,40.59688292,-73.97408445,"(40.59688292383929, -73.97408444865714)"
19588891,Gas Pipeline Broken,11228,,,84 ST,15 AVE,84 STREET,15 AVENUE,INTERSECTION,BROOKLYN,High,Closed,6/7/11 10:53,BROOKLYN,981944,162452,40.61256931,-74.00830559,"(40.61256931076022, -74.0083055861328)"
19589137,Gas Leak,11228,1540 84 STREET,84 STREET,15 AVE,16 AVE,,,ADDRESS,BROOKLYN,Medium,Closed,6/29/16 2:30,BROOKLYN,982235,162241,40.61199023,-74.00725742,"(40.61199023017985, -74.00725742015473)"
19645077,Transformer,11204,1873 66 ST,66 ST,18 AVE,19 AVE,,,ADDRESS,BROOKLYN,High,Closed,1/20/11 2:15,BROOKLYN,987196,164315,40.61768267,-73.98938849,"(40.61768267080648, -73.98938849473844)"
19818619,Manhole Inspection,11228,8821 14 AVE,14 AVE,BATH AVE,CROPSEY AVE,,,ADDRESS,BROOKLYN,Low,Closed,3/6/11 11:12,BROOKLYN,979729,160912,40.60834147,-74.01628238,"(40.60834147396937, -74.01628238382345)"
19892692,Transformer,11214,BAY 14 ST,BAY 14 ST,CROPSEY AVE,BATH AVE,,,BLOCKFACE,BROOKLYN,Medium,Closed,2/24/11 19:45,BROOKLYN,981495,159699,40.60501276,-74.00992164,"(40.60501276200498, -74.009921639179)"
20103448,Transformer ,11223,,,24 AVE,STILLWELL AVE,24 AVENUE,STILLWELL AVENUE,INTERSECTION,BROOKLYN,High,Closed,3/25/11 11:40,BROOKLYN,988054,158685,40.60222915,-73.98630115,"(40.60222915028448, -73.98630114628777)"
20178968,Gas Pipeline Broken,11204,,,65 ST,19 AVE,65 STREET,19 AVENUE,INTERSECTION,BROOKLYN,Medium,Closed,4/5/11 2:15,BROOKLYN,987563,164377,40.61785272,-73.98806653,"(40.61785271830828, -73.98806652867809)"
20261442,Gas Leak,11204,,,65 ST,19 AVE,65 STREET,19 AVENUE,INTERSECTION,BROOKLYN,Low,Closed,4/18/11 18:00,BROOKLYN,987563,164377,40.61785272,-73.98806653,"(40.61785271830828, -73.98806652867809)"
20319951,Transformer,11204,20 AVE,20 AVE,65 ST,66 ST,,,BLOCKFACE,BROOKLYN,Medium,Closed,4/27/11 14:30,BROOKLYN,988088,163782,40.61621935,-73.98617581,"(40.616219354821204, -73.98617580975495)"
20499949,Manhole Inspection,11223,1754 W 11 ST,W 11 ST,QUENTIN RD,HIGHLAWN AVE,,,ADDRESS,BROOKLYN,High,Closed,6/7/11 9:55,BROOKLYN,988760,159365,40.60409528,-73.98375827,"(40.60409528071916, -73.98375826571815)"
20967429,Transformer,11223,,,HIGHLAWN AVE,W 5 ST,HIGHLAWN AVENUE,WEST 5 STREET,INTERSECTION,BROOKLYN,Medium,Closed,8/3/11 2:15,BROOKLYN,990407,159180,40.6035865,-73.97782714,"(40.60358650216692, -73.97782714048334)"
21495500,Transformer ,11214,1827 79 STREET,79 STREET,18 AVENUE,19 AVENUE,,,ADDRESS,BROOKLYN,Low,Closed,9/22/11 20:30,BROOKLYN,984904,161768,40.61069215,-73.99764454,"(40.610692147465144, -73.99764453573947)"
21672422,Gas Pipeline Broken,11223,AVENUE T,AVENUE T,STILLWELL AVENUE,WEST   13 STREET,,,BLOCKFACE,BROOKLYN,Medium,Closed,10/17/11 9:56,BROOKLYN,988417,157138,40.59798279,-73.98499488,"(40.597982785601296, -73.98499487560922)"
26171683,Gas Leak,11204,2339 65 STREET,65 STREET,W 4 ST,W 3 ST,,,ADDRESS,BROOKLYN,High,Closed,7/7/16 4:30,BROOKLYN,990336,162180,40.61182094,-73.97808013,"(40.61182093678695, -73.97808012532941)"
27060958,Transformer,11228,58 BAY 7 STREET,BAY 7 STREET,86 STREET,BENSON AVENUE,,,ADDRESS,BROOKLYN,Medium,Started,1/6/14 11:20,BROOKLYN,980894,161962,40.61122403,-74.01208716,"(40.611224026180366, -74.01208715759023)"
30011240,Manhole Inspection,11228,,,,,15 AVENUE,84 STREET,INTERSECTION,BROOKLYN,Low,Started,2/22/15 16:00,BROOKLYN,981944,162452,40.61256931,-74.00830559,"(40.61256931076022, -74.0083055861328)"
30011893,Transformer,11214,8879 16 AVENUE,16 AVENUE,CROPSEY AVE,INDEPENDENCE AVE,,,ADDRESS,BROOKLYN,Medium,Started,2/22/15 10:40,BROOKLYN,980625,159491,40.60444153,-74.01305468,"(40.60444153124523, -74.01305467671746)"
30362729,Transformer ,11219,1568 62 STREET,62 STREET,15 AVE,16 AVE,,,ADDRESS,BROOKLYN,High,Closed,10/20/15 3:50,BROOKLYN,985933,166687,40.62419365,-73.99393724,"(40.62419364630994, -73.99393723506114)"
30437035,Gas Pipeline Broken,11214,42 BAY   13 STREET,BAY   13 STREET,86 ST,BENSON AVE,,,ADDRESS,BROOKLYN,Medium,Started,4/20/15 8:45,BROOKLYN,982205,161060,40.60874862,-74.00736511,"(40.60874862096289, -74.00736511343456)"
32558124,Gas Leak,11214,2166 81 STREET,81 STREET,21 AVE,BAY PKWY,,,ADDRESS,BROOKLYN,Low,Started,1/29/16 11:45,BROOKLYN,986548,159794,40.60527365,-73.99172413,"(40.60527364791391, -73.9917241321553)"
32614813,Transformer,11223,,,,,WEST 5 STREET,HIGHLAWN AVENUE,INTERSECTION,BROOKLYN,Medium,Started,2/6/16 13:00,BROOKLYN,990407,159180,40.6035865,-73.97782714,"(40.60358650216692, -73.97782714048334)"
